feature,role,included,timing
loan_amnt,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
fico_n,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
dti_n,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
purpose,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
home_ownership_n,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
term,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
int_rate,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
installment,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
application_type,ALLOWED_ORIGINATION_TIME_PREDICTOR,True,T0_OR_GOVERNED_APPLICATION_TIME
actual_default,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
loan_status,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
recoveries,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
collection_recovery_fee,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
total_rec_prncp,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
total_rec_int,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
total_rec_late_fee,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
total_pymnt,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
total_pymnt_inv,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
last_pymnt_d,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
last_pymnt_amnt,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
next_pymnt_d,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
out_prncp,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
out_prncp_inv,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
last_fico_range_high,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
last_fico_range_low,HARD_LEAKAGE_EXCLUSION,False,POST_OUTCOME_OR_UNRESOLVED
