model,fold,status,n,mae,rmse,exposure_weighted_mae,mean_bias,exposure_weighted_bias,spearman_predicted_observed
B0_GLOBAL_MEAN,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
B1_EXPOSURE_WEIGHTED_MEAN,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
B2_RISK_DECILE_TERM_BASELINE,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
HUBER_REGRESSOR,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
TWEEDIE_REGRESSOR,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
CATBOOST_REGRESSOR,<= 2013 -> 2014,SKIPPED_INADEQUATE_TRAINING,0,,,,,,
B0_GLOBAL_MEAN,<= 2014 -> 2015,COMPLETED,18789,0.17869140753884402,0.21313774185683168,0.17509453689771734,-0.04132961221769136,-0.06081568080774412,0.04780325939478342
B1_EXPOSURE_WEIGHTED_MEAN,<= 2014 -> 2015,COMPLETED,18789,0.17537448557886332,0.21081656634988535,0.17073081459296255,-0.026908446439565012,-0.046394515029617764,0.04780325939478342
B2_RISK_DECILE_TERM_BASELINE,<= 2014 -> 2015,COMPLETED,18789,0.16356284398836232,0.19521264090638757,0.15725784311831217,-0.04069356904192711,-0.046170857377485074,0.3739498158893875
HUBER_REGRESSOR,<= 2014 -> 2015,COMPLETED,18789,0.16082712455861983,0.1933797794138445,0.1539245547225809,-0.038063628640191596,-0.042410567295515955,0.411544999530076
TWEEDIE_REGRESSOR,<= 2014 -> 2015,COMPLETED,18789,0.16530391055858304,0.19704200616392048,0.15864512451599883,-0.04956524211812099,-0.05477666841549506,0.4104741878862625
CATBOOST_REGRESSOR,<= 2014 -> 2015,COMPLETED,18789,0.158280520824526,0.19185796825041365,0.1505388161990443,-0.02629254699810132,-0.029206496519711855,0.40663027211594516
B0_GLOBAL_MEAN,<= 2015 -> 2016,COMPLETED,14190,0.16951852280614396,0.20027789883003716,0.16972639300359993,-0.058836569531096776,-0.08088851528749103,0.09636126278095768
B1_EXPOSURE_WEIGHTED_MEAN,<= 2015 -> 2016,COMPLETED,14190,0.16384128006614776,0.19577902223672472,0.162256896065571,-0.04098695771072718,-0.06303890346712143,0.09636126278095768
B2_RISK_DECILE_TERM_BASELINE,<= 2015 -> 2016,COMPLETED,14190,0.15329116352116384,0.1861401475340696,0.14874814644750023,-0.07784125217377448,-0.08400193736338589,0.4565901135738883
HUBER_REGRESSOR,<= 2015 -> 2016,COMPLETED,14190,0.14067033832360065,0.17473556737513504,0.13407168017621401,-0.04755801330601176,-0.051667886559487675,0.48106699902017014
TWEEDIE_REGRESSOR,<= 2015 -> 2016,COMPLETED,14190,0.14611408657225414,0.17912079548626778,0.13996928443896697,-0.060136244678027986,-0.06484217437736933,0.4800612089270872
CATBOOST_REGRESSOR,<= 2015 -> 2016,COMPLETED,14190,0.13837345827370845,0.1732257736282414,0.13102619101183158,-0.039961996302605086,-0.04223161765215442,0.4806293207840567
B0_GLOBAL_MEAN,<= 2016 -> 2017,COMPLETED,5892,0.17491950068891435,0.19622368826223466,0.18370373614112515,-0.1582900695793548,-0.17030829617188745,0.039758934926598204
B1_EXPOSURE_WEIGHTED_MEAN,<= 2016 -> 2017,COMPLETED,5892,0.15970686821090244,0.18100499051886948,0.16762599947682605,-0.1389777567992028,-0.15099598339173545,0.039758934926598204
B2_RISK_DECILE_TERM_BASELINE,<= 2016 -> 2017,COMPLETED,5892,0.16752126349857985,0.19075701506552586,0.162613187173972,-0.15809914930843907,-0.15383437142219214,0.4505686987418231
HUBER_REGRESSOR,<= 2016 -> 2017,COMPLETED,5892,0.1340953128348963,0.16284193698599878,0.1257060532200537,-0.11602998494285878,-0.10666612598064684,0.5035747988514567
TWEEDIE_REGRESSOR,<= 2016 -> 2017,COMPLETED,5892,0.14742706913702777,0.17374066449085013,0.13933064140987036,-0.13305429148163336,-0.12464572591369079,0.5032277498948167
CATBOOST_REGRESSOR,<= 2016 -> 2017,COMPLETED,5892,0.12745681712059914,0.1569760138343581,0.1187569043229414,-0.10839563153852642,-0.09870474844786278,0.4984056558019374
