segment_dimension,segment,account_count,total_ead_proxy,total_expected_loss_proxy,portfolio_el_rate,mean_p_bad_final
risk_decile,1,31035,458507800.0,4710620.867090936,0.010315345784046717,0.015456367037257095
risk_decile,2,29796,403488350.0,7375070.645590288,0.018334088308765248,0.027471536497789637
risk_decile,3,29394,376114775.0,10046131.966045255,0.02675884606326799,0.04009507338929735
risk_decile,4,29329,367959775.0,13521649.193269273,0.03675112137397123,0.05506735623592848
risk_decile,5,30064,379830450.0,18724411.81446413,0.04928114232709509,0.07384216096768301
risk_decile,6,31090,404469525.0,26911184.232043732,0.06641921663607389,0.09952160714204528
risk_decile,7,32694,449868550.0,41315587.50486557,0.09160978685897446,0.13726679837403583
risk_decile,8,32989,494759000.0,65741649.68327016,0.13230378132447437,0.19824209942924922
risk_decile,9,32208,544786975.0,113141044.96718128,0.20660788119031254,0.3095783031729549
risk_decile,10,31467,589373150.0,225264922.79405653,0.3813541835750352,0.5714156709749102
