segment_dimension,segment,account_count,total_ead_proxy,total_expected_loss_proxy,mean_p_bad_final,segment_el_rate,zero_ead_flag
risk_decile,1,31035,458507800.0,4710620.867090936,0.015456367037257095,0.010273807483953241,False
risk_decile,2,29796,403488350.0,7375070.645590288,0.027471536497789637,0.01827827407059036,False
risk_decile,3,29394,376114775.0,10046131.966045255,0.04009507338929735,0.026710282695076935,False
risk_decile,4,29329,367959775.0,13521649.193269273,0.05506735623592848,0.03674762871368011,False
risk_decile,5,30064,379830450.0,18724411.81446413,0.07384216096768301,0.049296763370246195,False
risk_decile,6,31090,404469525.0,26911184.232043732,0.09952160714204528,0.06653451636941926,False
risk_decile,7,32694,449868550.0,41315587.50486557,0.13726679837403583,0.09183924394107028,False
risk_decile,8,32989,494759000.0,65741649.68327016,0.19824209942924922,0.13287610671714947,False
risk_decile,9,32208,544786975.0,113141044.96718128,0.3095783031729549,0.20767942362642072,False
risk_decile,10,31467,589373150.0,225264922.79405653,0.5714156709749102,0.38221103691957553,False
risk_band,R1 VERY_LOW,60830,861976150.0,12085244.498650301,0.021341390144943514,0.014020393138081955,False
risk_band,R2 LOW,58723,744062550.0,23566869.72210923,0.047572415567107104,0.03167323731332699,False
risk_band,R3 MEDIUM,61155,784331975.0,45636954.49774408,0.0868969193402409,0.05818576311101442,False
risk_band,R4 HIGH,65686,944672550.0,107064496.16122366,0.1678947483581796,0.11333503462255114,False
risk_band,R5 VERY_HIGH,63672,1134115125.0,338398708.7881499,0.4389827520828445,0.2983812677642844,False
term, 36 months,241312,3066670225.0,206663361.0100678,0.10074106901553721,0.06739014822177947,False
term, 60 months,68754,1402488125.0,320088912.6578094,0.3501641825801193,0.22822932112727112,False
purpose,car,3138,28901200.0,3047658.132128091,0.12415043610423009,0.10545092010463548,False
purpose,credit_card,70483,1050869225.0,96047394.49876066,0.12411486631147546,0.09139804669678157,False
purpose,debt_consolidation,179630,2724342625.0,345664875.998713,0.1708799428695269,0.12688010414942322,False
purpose,educational,1,2200.0,115.76944415450448,0.0788487656251573,0.052622474615683854,False
purpose,home_improvement,20640,291336850.0,31749837.080557413,0.13377225454481215,0.10897981865513207,False
purpose,house,1345,19337300.0,3188589.15847176,0.2235861509188988,0.16489319390358323,False
purpose,major_purchase,6515,78232050.0,9910574.8694026,0.14531874377401585,0.1266817738944921,False
purpose,medical,3544,31547425.0,3844165.9951411285,0.1482708209272171,0.12185355841692717,False
purpose,moving,2142,16451025.0,2141014.7216855353,0.1585815821412071,0.1301447612951494,False
purpose,other,17268,165942350.0,21716948.272385236,0.15776932068327115,0.13087043947723553,False
purpose,renewable_energy,191,1939025.0,309051.6465364342,0.1821147905286742,0.15938507576562147,False
purpose,small_business,2982,46550475.0,7664702.973722277,0.21740065585457194,0.1646535931958219,False
purpose,vacation,2180,13634450.0,1458036.3479527226,0.12396353369107357,0.10693767243656492,False
purpose,wedding,7,72150.0,9308.202976110384,0.1486005285193623,0.12901182226071217,False
fico_band,660-699,191171,2601282525.0,384584198.25493586,0.19041800220254093,0.1478440709760797,False
fico_band,700-739,86023,1359419100.0,116723026.02724628,0.11449385273555705,0.08586242905314945,False
fico_band,740+,32872,508456725.0,25445049.385694996,0.06490972446027207,0.05004368736728774,False
dti_band,10-20,129243,1891744325.0,184426903.94680908,0.12911045340518168,0.0974903963022641,False
dti_band,20-30,94107,1380855800.0,192620825.5517683,0.18584199162956863,0.13949380199711534,False
dti_band,30-40,30135,419180975.0,84598102.72897713,0.26733601853813005,0.20181761046998167,False
dti_band,40+,1449,24316950.0,5096087.69260136,0.2964574917771742,0.20956936180735497,False
dti_band,<=10,55132,753060300.0,60010353.74772128,0.10382036921260707,0.07968864345620301,False
loan_size_band,10-20k,113517,1724612025.0,211490529.97648203,0.18362113971691504,0.12263078704700672,False
loan_size_band,20-30k,48414,1220627850.0,160791423.87115484,0.19857012757885426,0.1317284575074662,False
loan_size_band,30k+,19256,668423400.0,91335550.18104462,0.20624752943358543,0.1366432566260317,False
loan_size_band,<=10k,128879,855495075.0,63134769.63919566,0.10828777034869932,0.07379910356491025,False
issue_year,2014,67783,981956025.0,117035131.41095662,0.16167531479352454,0.11918571548146122,False
issue_year,2015,114398,1665100475.0,195644661.76422995,0.15680325789450042,0.11749721095012597,False
issue_year,2016,83664,1207921575.0,140422876.0316829,0.15288597241090351,0.11625164989017016,False
issue_year,2017,44221,614180275.0,73649604.46100768,0.15145175596075333,0.119915287837936,False
