risk_decile,risk_band,account_count,mean_int_rate,mean_expected_loss_rate,mean_diagnostic_spread
1,R1 VERY_LOW,31035,6.923217335266634,0.010315345784046717,0.05891682756861963
2,R1 VERY_LOW,29795,8.312657828494714,0.018333953500467303,0.06479262478447984
2,R2 LOW,1,9.49,0.022350701546126478,0.07254929845387352
3,R2 LOW,29394,9.588181261481935,0.02675884606326799,0.06912296655155137
4,R2 LOW,29328,10.705633865248227,0.03675092700409405,0.07030541164838822
4,R3 MEDIUM,1,11.49,0.04245160113189876,0.07244839886810124
5,R3 MEDIUM,30064,11.690699507716872,0.04928114232709509,0.06762585275007361
6,R3 MEDIUM,31090,12.73213348343519,0.06641921663607389,0.060902118198278
7,R4 HIGH,32694,13.919298648069981,0.09160978685897446,0.04758319962172536
8,R4 HIGH,32989,15.3469520143078,0.13230378132447437,0.021165738818603636
9,R4 HIGH,3,13.996666666666668,0.16131060764705715,-0.021343940980390497
9,R5 VERY_HIGH,32205,17.23226486570408,0.2066121007779738,-0.03428945212093295
10,R5 VERY_HIGH,31467,20.114652493088,0.3813541835750352,-0.18020765864415528
