scenario,policy_scenario,thresholds_frozen,approval_rate,review_rate,decline_rate,approved_ead,approved_el_proxy,approved_el_rate
BASE,GROWTH,True,0.7946404958944224,0.10387465894357975,0.10148484516199777,3334998225.0,188346305.90663934,0.056475684003291886
BASE,BALANCED,True,0.4825359762115163,0.10026897499242096,0.4171950487960628,1985901150.0,54377884.48645988,0.027381969382745903
BASE,CONSERVATIVE,True,0.10009159340269491,0.09609566995413879,0.8038127366431663,458507800.0,4710620.867090936,0.010273807483953241
MILD,GROWTH,True,0.7662239652203079,0.11601723504028175,0.11775879973941032,3196558200.0,190109950.62169874,0.0594733268493903
MILD,BALANCED,True,0.4377003605683951,0.10201053969154954,0.46028909974005533,1809561400.0,51730622.83926359,0.02858738191434874
MILD,CONSERVATIVE,True,0.07521301916366192,0.08611714925209471,0.8386698315842434,347877350.0,3718555.5075018657,0.010689271685845214
ADVERSE,GROWTH,True,0.7230492862809853,0.13398437751962486,0.1429663361993898,2994431975.0,191040850.2020931,0.06379869430899097
ADVERSE,BALANCED,True,0.37487180148742527,0.10403268981442661,0.5210955086981481,1564598100.0,47346591.46066946,0.030261184300728383
ADVERSE,CONSERVATIVE,True,0.046512677945985695,0.07198144911083447,0.8815058729431798,216814600.0,2437982.4090943616,0.011244549071392617
SEVERE,GROWTH,True,0.6782878483935678,0.150813052704908,0.1708990989015242,2795529800.0,189697885.12342238,0.06785757931230867
SEVERE,BALANCED,True,0.3187482664981004,0.10305870363083988,0.5781930298710597,1345974500.0,42914666.459833935,0.031883714334732145
SEVERE,CONSERVATIVE,True,0.026784620048634807,0.05771029393741978,0.9155050860139454,125093975.0,1468428.7964340146,0.011738605288016585
