scenario,step,expected_loss_proxy,incremental_EL,incremental_EL_rate,pct_of_total_change
BASE,BASE,526752273.6678772,0.0,0.0,0.0
BASE,PD_ONLY,526752273.6678772,0.0,0.0,0.0
BASE,PD_PLUS_LGD,526752273.6678772,0.0,0.0,0.0
BASE,PD_PLUS_LGD_PLUS_EAD,526752273.6678772,0.0,0.0,0.0
BASE,FULL_COMBINED,526752273.6678772,0.0,0.0,0.0
MILD,BASE,526752273.6678772,0.0,0.0,0.0
MILD,PD_ONLY,576801153.5573231,50048879.8894459,0.011198726017270321,1.4223397621070948
MILD,PD_PLUS_LGD,620014684.754131,43213531.19680786,0.009669277258168277,-2.9078150100251663
MILD,PD_PLUS_LGD_PLUS_EAD,561939984.2436556,-58074700.5104754,-0.014764583252194262,1.0
MILD,FULL_COMBINED,561939984.2436556,0.0,0.0,0.0
ADVERSE,BASE,526752273.6678772,0.0,0.0,0.0
ADVERSE,PD_ONLY,651164627.8205829,124412354.15270567,0.027837982995770484,0.50918234526285
ADVERSE,PD_PLUS_LGD,771089798.9378893,119925171.11730647,0.02683394986828034,1.0
ADVERSE,PD_PLUS_LGD_PLUS_EAD,771089798.9378893,0.0,0.0,0.0
ADVERSE,FULL_COMBINED,771089798.9378893,0.0,0.0,0.0
SEVERE,BASE,526752273.6678772,0.0,0.0,0.0
SEVERE,PD_ONLY,724731571.5234907,197979297.85561347,0.04429901165968162,0.47887190186504663
SEVERE,PD_PLUS_LGD,940180785.7283051,215449214.20481443,0.04820800636988269,1.0
SEVERE,PD_PLUS_LGD_PLUS_EAD,940180785.7283051,0.0,0.0,0.0
SEVERE,FULL_COMBINED,940180785.7283051,0.0,0.0,0.0
