window_id,frequency,start_date,end_date,account_count,bad_count,good_count,score_eligible,outcome_eligible,minimum_sample_pass,status
2016-01,monthly,2016-01-01,2016-01-01,8762,1384,7378,True,True,True,
2016-02,monthly,2016-02-01,2016-02-01,10627,1709,8918,True,True,True,
2016-03,monthly,2016-03-01,2016-03-01,14908,2764,12144,True,True,True,
2016-04,monthly,2016-04-01,2016-04-01,7205,1513,5692,True,True,True,
2016-05,monthly,2016-05-01,2016-05-01,5344,1150,4194,True,True,True,
2016-06,monthly,2016-06-01,2016-06-01,6187,1203,4984,True,True,True,
2016-07,monthly,2016-07-01,2016-07-01,5575,893,4682,True,True,True,
2016-08,monthly,2016-08-01,2016-08-01,5616,826,4790,True,True,True,
2016-09,monthly,2016-09-01,2016-09-01,4455,647,3808,True,True,True,
2016-10,monthly,2016-10-01,2016-10-01,5009,678,4331,True,True,True,
2016-11,monthly,2016-11-01,2016-11-01,4929,697,4232,True,True,True,
2016-12,monthly,2016-12-01,2016-12-01,5047,726,4321,True,True,True,
2017-01,monthly,2017-01-01,2017-01-01,4267,546,3721,True,True,True,
2017-02,monthly,2017-02-01,2017-02-01,3516,449,3067,True,True,True,
2017-03,monthly,2017-03-01,2017-03-01,4497,582,3915,True,True,True,
2017-04,monthly,2017-04-01,2017-04-01,3296,444,2852,True,True,True,
2017-05,monthly,2017-05-01,2017-05-01,4319,595,3724,True,True,True,
2017-06,monthly,2017-06-01,2017-06-01,3933,519,3414,True,True,True,
2017-07,monthly,2017-07-01,2017-07-01,3963,605,3358,True,True,True,
2017-08,monthly,2017-08-01,2017-08-01,4026,520,3506,True,True,True,
2017-09,monthly,2017-09-01,2017-09-01,3491,542,2949,True,True,True,
2017-10,monthly,2017-10-01,2017-10-01,3115,395,2720,True,True,True,
2017-11,monthly,2017-11-01,2017-11-01,3152,375,2777,True,True,True,
2017-12,monthly,2017-12-01,2017-12-01,2646,320,2326,True,True,True,
2016Q1,quarterly,2016-01-01,2016-03-01,34297,5857,28440,True,True,True,
2016Q2,quarterly,2016-04-01,2016-06-01,18736,3866,14870,True,True,True,
2016Q3,quarterly,2016-07-01,2016-09-01,15646,2366,13280,True,True,True,
2016Q4,quarterly,2016-10-01,2016-12-01,14985,2101,12884,True,True,True,
2017Q1,quarterly,2017-01-01,2017-03-01,12280,1577,10703,True,True,True,
2017Q2,quarterly,2017-04-01,2017-06-01,11548,1558,9990,True,True,True,
2017Q3,quarterly,2017-07-01,2017-09-01,11480,1667,9813,True,True,True,
2017Q4,quarterly,2017-10-01,2017-12-01,8913,1090,7823,True,True,True,
2016Y,annual,2016-01-01,2016-12-01,83664,14190,69474,True,True,True,
2017Y,annual,2017-01-01,2017-12-01,44221,5892,38329,True,True,True,
2018Y,annual,2018-01-01,2018-12-31,0,0,0,False,False,False,NO_2018_SCORE_OR_INPUT_SNAPSHOT_AVAILABLE
