feature,window_id,psi,monitoring_status
revenue,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
dti_n,2017Y,0.004710928348333378,VALUE_AVAILABLE
loan_amnt,2017Y,0.02071894588819626,VALUE_AVAILABLE
fico_n,2017Y,0.02545502606831505,VALUE_AVAILABLE
experience_c,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
emp_length,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
purpose,2017Y,0.008834308513181621,VALUE_AVAILABLE
home_ownership_n,2017Y,0.004560809758052323,VALUE_AVAILABLE
total_acc,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
open_acc,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
pub_rec,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
pub_rec_bankruptcies,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
revol_util,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
revol_bal,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mort_acc,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
application_type,2017Y,0.07324678478303874,VALUE_AVAILABLE
loan_to_income,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
log_revenue,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
log_loan_amnt,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
fico_x_dti,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
open_to_total_acc,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
revol_bal_to_income,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
has_public_record,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
has_bankruptcy,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
term,2017Y,0.002531944712219048,VALUE_AVAILABLE
installment,2017Y,0.017549389767279582,VALUE_AVAILABLE
int_rate,2017Y,0.10064644356518351,VALUE_AVAILABLE
verification_status,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
time_to_earliest_cr_line,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
installment_to_income,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
installment_to_loan,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
fico_x_revol_util,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
dti_x_revol_util,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
revol_bal_per_open_acc,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
has_mortgage_account,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
credit_history_log,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
fico_source_midpoint,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
fico_source_width,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
inq_last_6mths,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
acc_open_past_24mths,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
bc_util,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
bc_open_to_buy,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
avg_cur_bal,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
tot_cur_bal,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
tot_hi_cred_lim,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
total_bal_ex_mort,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
total_bc_limit,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
total_rev_hi_lim,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_accts_ever_120_pd,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_tl_90g_dpd_24m,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
pct_tl_nvr_dlq,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
percent_bc_gt_75,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mths_since_recent_inq,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mths_since_last_delinq,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mths_since_last_major_derog,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mo_sin_old_rev_tl_op,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mo_sin_rcnt_tl,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
mo_sin_rcnt_rev_tl_op,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_actv_bc_tl,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_actv_rev_tl,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_bc_tl,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_il_tl,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_rev_accts,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_sats,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
num_tl_op_past_12m,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
delinq_2yrs,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
collections_12_mths_ex_med,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
chargeoff_within_12_mths,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
tax_liens,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
tot_coll_amt,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
total_il_high_credit_limit,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
bc_available_ratio,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
nonmort_balance_to_income,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
total_balance_to_income,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
recent_open_share,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
very_recent_open_share,2017Y,,NOT_AVAILABLE_SOURCE_FEATURE_VALUES
