window_id,risk_decile,count,BAD_count,observed_BAD_rate,mean_prediction,calibration_gap,EAD
Validation-2016,1,8367,118,0.014103023783912991,0.015500206417949218,0.0013971826340362266,122805650.0
Validation-2016,2,8366,240,0.02868754482428879,0.02761442946200801,-0.0010731153622807778,111329475.0
Validation-2016,3,8366,371,0.04434616304087975,0.040123809339700965,-0.004222353701178787,107081950.0
Validation-2016,4,8367,543,0.06489781283614199,0.05507069265178869,-0.009827120184353298,105493950.0
Validation-2016,5,8366,741,0.08857279464499163,0.07395424455490197,-0.014618550090089652,107606625.0
Validation-2016,6,8366,867,0.10363375567774324,0.0994256274672847,-0.004208128210458545,110158825.0
Validation-2016,7,8367,1294,0.1546551930201984,0.13708178458382697,-0.017573408436371424,117888200.0
Validation-2016,8,8366,1803,0.2155151804924695,0.19817079783476804,-0.017344382657701468,126083225.0
Validation-2016,9,8366,2975,0.3556060243844131,0.3102393082814251,-0.04536671610298798,140328225.0
Validation-2016,10,8367,5238,0.6260308354248835,0.5716359389667159,-0.05439489645816753,159145450.0
OOT-2017,1,4889,44,0.00899979545919411,0.015327271022874673,0.006327475563680563,62304550.0
OOT-2017,2,4206,71,0.016880646695197336,0.02743053667595921,0.010549889980761874,51002750.0
OOT-2017,3,4165,121,0.029051620648259304,0.04003570232171261,0.010984081673453303,49840725.0
OOT-2017,4,4097,130,0.03173053453746644,0.05503483029269175,0.023304295755225315,47903625.0
OOT-2017,5,4320,178,0.0412037037037037,0.07377407439843996,0.032570370694736256,51749850.0
OOT-2017,6,4390,266,0.06059225512528474,0.09975118022898097,0.03915892510369623,54952000.0
OOT-2017,7,4584,436,0.09511343804537521,0.13751134988305436,0.042397911837679145,62637875.0
OOT-2017,8,4711,708,0.15028656336234344,0.19839888277046017,0.04811231940811672,71682925.0
OOT-2017,9,4707,1418,0.30125345230507755,0.31024794783134013,0.00899449552626258,80503600.0
OOT-2017,10,4152,2520,0.6069364161849711,0.5618631737782517,-0.045073242406719394,81602375.0
