segment,window_id,frequency,account_count,bad_count,good_count,roc_auc,gini,ks,pr_auc,brier,logloss,bad_rate,mean_prediction,minimum_sample_pass
term, 36 months,segment,102626,11345,91281.0,0.7978421313224697,0.5956842626449395,0.44848244772899387,0.38548851712178134,0.08268211902088772,0.2844492754587403,0.1105470348644593,0.1044247701993992,True
term, 60 months,segment,25259,8737,16522.0,0.8104956932087886,0.6209913864175771,0.48019282131404883,0.6817907433995751,0.165767835491074,0.5021618721901724,0.3458965121342888,0.34726286085124525,True
fico_band,<660,0,0,0,,,,,,,,,False,
fico_band,660-699,segment,74584,15141,59443.0,0.8163141920861496,0.6326283841722993,0.4910671543221058,0.5736419112207122,0.12119227718984309,0.38935957577511715,0.2030060066502199,0.1896231021831237,True
fico_band,700-739,segment,36968,4082,32886.0,0.8144773164540351,0.6289546329080702,0.48285345038401634,0.4267336284468509,0.07898833957323599,0.2735973485693653,0.11041982254923177,0.11523809985389108,True
fico_band,740+,segment,16333,859,15474.0,0.8265171379893992,0.6530342759787984,0.5101900623269375,0.2821514542982228,0.04367961574946533,0.16663544305128358,0.052592910059388966,0.06644447070963097,True
dti_band,<10,segment,23322,2244,21078.0,0.8104374313622318,0.6208748627244636,0.4644743258170696,0.3715031055156033,0.07254027585258785,0.25458094095698625,0.09621816310779521,0.102146653239224,True
dti_band,10-19.99,segment,52776,6515,46261.0,0.8223807017884095,0.644761403576819,0.49671775394715195,0.4725651217787258,0.0845707936376929,0.28856055870201136,0.12344626345308474,0.12450633016099207,True
dti_band,20-29.99,segment,38450,7505,30945.0,0.8228935285131721,0.6457870570263442,0.4954739389015068,0.5745669061829602,0.1164430531655401,0.37580512029415875,0.1951885565669701,0.18259674992698927,True
dti_band,30+,segment,13337,3818,9519.0,0.8083131798216034,0.6166263596432069,0.47450608969263375,0.6307840381548309,0.15296820804039218,0.4693621089085746,0.2862712753992652,0.2634890685019651,True
purpose,car,segment,1566,147,1419.0,0.78454694069312,0.5690938813862401,0.4348995412118336,0.3627085061849484,0.07334955568578978,0.26089178054189055,0.09386973180076628,0.11537137571874065,True
purpose,credit_card,segment,26527,3411,23116.0,0.8290160889955843,0.6580321779911686,0.5105972990592765,0.4966443259302701,0.08574285473729719,0.2911324231564448,0.12858596901270403,0.12515948653268769,True
purpose,debt_consolidation,segment,72063,12388,59675.0,0.8344747481210448,0.6689494962420897,0.5180371425838944,0.556757562581681,0.10478810653279047,0.34263948482194145,0.17190513855931616,0.16798483448537477,True
purpose,home_improvement,segment,9817,1220,8597.0,0.8140598988972515,0.628119797794503,0.4794753030508165,0.4397141647859845,0.08779157569688552,0.2967315714112747,0.12427421819293064,0.12360838017734907,True
purpose,house,segment,735,138,597.0,0.8473405675721603,0.6946811351443205,0.5810574612191391,0.6217276299109031,0.10792842275278697,0.35260264904372185,0.18775510204081633,0.2027226457269811,True
purpose,major_purchase,segment,3229,475,2754.0,0.8379788250582884,0.6759576501165767,0.5315277300003822,0.5253130418593273,0.09413332386752603,0.31225520190551415,0.14710436667698978,0.1413170316033936,True
purpose,medical,segment,1728,292,1436.0,0.8218057198458426,0.6436114396916852,0.5133838287480443,0.5501140611982573,0.10840423914855225,0.3528197002671376,0.16898148148148148,0.13630556525685336,True
purpose,moving,segment,1015,162,853.0,0.78836495737629,0.57672991475258,0.445500991417365,0.46767523296604596,0.11009992405333992,0.3607307686477936,0.15960591133004925,0.1370543877447184,True
purpose,other,segment,8676,1336,7340.0,0.8199136468207999,0.6398272936415998,0.48467832726916743,0.518413107184263,0.09981127869433903,0.3310632580619565,0.15398801290917474,0.14789211406626065,True
purpose,renewable_energy,96,15,81,,,,,,,0.15625,0.1670374414637719,False,
purpose,small_business,segment,1310,353,957.0,0.7767723143321463,0.5535446286642927,0.4293605193282833,0.593739104213659,0.1605436827783719,0.49726639425083746,0.2694656488549618,0.19990585907933106,True
purpose,vacation,segment,1123,145,978.0,0.822487835836683,0.6449756716733659,0.4810662153585784,0.49386636849694115,0.08880473289796702,0.2995684687797293,0.12911843276936777,0.11352884058918175,True
home_ownership_n,MORTGAGE,segment,64614,7768,56846.0,0.8227861424834249,0.6455722849668497,0.49302542710928066,0.45112983403737805,0.08366370615924487,0.2851820371631323,0.1202216237967004,0.1252787428453907,True
home_ownership_n,OTHER,71,8,63,,,,,,,0.11267605633802817,0.11855755171188383,False,
home_ownership_n,OWN,segment,15360,2437,12923.0,0.8028564505568174,0.6057129011136348,0.46299512554253125,0.4865142197095826,0.10579305599299355,0.3486251861617627,0.15865885416666667,0.1545048102308853,True
home_ownership_n,RENT,segment,47840,9869,37971.0,0.8355753515825692,0.6711507031651385,0.5206847798387151,0.6043162831243146,0.11781316549498239,0.37780513532169924,0.2062918060200669,0.18837451729086813,True
loan_size_band,<10k,segment,56327,6065,50262.0,0.7862946880522482,0.5725893761044965,0.42697357684152193,0.3681537077556059,0.0818081311201221,0.2838360182212013,0.10767482734745326,0.10514918728179352,True
loan_size_band,10-19.99k,segment,43882,8166,35716.0,0.8509179019607891,0.7018358039215782,0.5490696642495523,0.6012782690967969,0.10637666527530626,0.3447966828469515,0.1860899685520259,0.17994522595041457,True
loan_size_band,20-34.99k,segment,25859,5619,20240.0,0.8295378311305445,0.6590756622610889,0.5086114428952586,0.5901574350597675,0.12484486044167185,0.39415567596956486,0.21729378552921613,0.20975751053961306,True
loan_size_band,35k+,segment,1817,232,1585.0,0.7964973349287501,0.5929946698575002,0.4382437724355488,0.41932357688305194,0.09250095208110183,0.31124216452819936,0.12768299394606494,0.13483485223093922,True
application_type,Individual,segment,123198,19238,103960.0,0.8319557614324702,0.6639115228649404,0.5106663594373086,0.5371755628461488,0.0984061092943735,0.32565384266913877,0.1561551323885128,0.15056761601269525,True
application_type,Joint App,segment,4687,844,3843.0,0.8108957876264223,0.6217915752528447,0.4803844128488678,0.4930624828020406,0.11713869222496996,0.3746737707974586,0.1800725410710476,0.20025174124026418,True
