alert_id,alert_date,kri_id,source_stage,metric_id,window_id,frequency,severity,metric_value,reference_value,threshold_id,threshold_value_or_rule,population_scope,initial_status,final_status,investigation_id,action_id,closed_date
E8A-001,2026-09-04,E3-KRI-001,E3,PSI,OOT-2017,annual,AMBER,0.100646,0.0,E0-THR-PSI,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-001,ACT-001,
E8A-002,2026-09-04,E3-KRI-002,E3,PSI,OOT-2017,annual,AMBER,0.136962,0.0,E0-THR-PSI,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-002,ACT-002,
E8A-003,2026-09-04,E3-KRI-003,E3,MISSINGNESS_SHIFT_PP,OOT-2017,annual,AMBER,2.6635,0.0,E0-THR-MISSINGNESS,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-003,ACT-003,
E8A-004,2026-09-04,E5-CALIBRATION_GAP-2017-01,E5,CALIBRATION_GAP,2017-01,monthly,AMBER,0.0200042022977821,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-004,ACT-004,
E8A-005,2026-09-04,E5-CALIBRATION_GAP-2017-08,E5,CALIBRATION_GAP,2017-08,monthly,AMBER,0.0202256207180587,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-005,ACT-005,
E8A-006,2026-09-04,E5-CALIBRATION_GAP-2017-10,E5,CALIBRATION_GAP,2017-10,monthly,AMBER,0.025938399488364,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-006,ACT-006,
E8A-007,2026-09-04,E5-CALIBRATION_GAP-2017-11,E5,CALIBRATION_GAP,2017-11,monthly,AMBER,0.0235360013755125,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-007,ACT-007,
E8A-008,2026-09-04,E5-CALIBRATION_GAP-2017-12,E5,CALIBRATION_GAP,2017-12,monthly,AMBER,0.0287298025889287,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-008,ACT-008,
E8A-009,2026-09-04,E5-CALIBRATION_GAP-2017Q4,E5,CALIBRATION_GAP,2017Q4,quarterly,AMBER,0.0259174967342281,0.0,E0-THR-CALGAP,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-009,ACT-009,
E8A-010,2026-09-04,E5-CALIBRATION_SLOPE-OOT,E5,CALIBRATION_SLOPE,OOT,annual,AMBER,1.2507071775766894,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-010,ACT-010,
E8A-011,2026-09-04,E5-CALIBRATION_SLOPE-2017-01,E5,CALIBRATION_SLOPE,2017-01,monthly,AMBER,1.2947068852686867,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-011,ACT-011,
E8A-012,2026-09-04,E5-CALIBRATION_SLOPE-2017-06,E5,CALIBRATION_SLOPE,2017-06,monthly,AMBER,1.2908526164261678,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-012,ACT-012,
E8A-013,2026-09-04,E5-CALIBRATION_SLOPE-2017-07,E5,CALIBRATION_SLOPE,2017-07,monthly,AMBER,1.2901449512865504,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-013,ACT-013,
E8A-014,2026-09-04,E5-CALIBRATION_SLOPE-2017-08,E5,CALIBRATION_SLOPE,2017-08,monthly,AMBER,1.277925119721385,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-014,ACT-014,
E8A-015,2026-09-04,E5-CALIBRATION_SLOPE-2017-09,E5,CALIBRATION_SLOPE,2017-09,monthly,AMBER,1.2836358672741268,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-015,ACT-015,
E8A-016,2026-09-04,E5-CALIBRATION_SLOPE-2017-10,E5,CALIBRATION_SLOPE,2017-10,monthly,RED,1.3585283041585752,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,RED,RED,INV-016,ACT-016,
E8A-017,2026-09-04,E5-CALIBRATION_SLOPE-2017-12,E5,CALIBRATION_SLOPE,2017-12,monthly,AMBER,1.2698844402553675,1.0,E0-THR-CALSLOPE,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,AMBER,AMBER,INV-017,ACT-017,
