kri_id,source_stage,domain,metric_id,window_id,frequency,population_scope,observed_value,reference_value,delta,status,threshold_id,threshold_version,sample_eligible,persistence_key,persistence_count,persistence_state,claim_boundary
E3-KRI-001,E3,FEATURE_DRIFT,PSI,OOT-2017,annual,LANE_A_C8E_MATCHED_SCORED,0.100646,0.0,0.100646,AMBER,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|annual,1,NONE,aggregate feature monitoring; no causal pricing claim
E3-KRI-002,E3,FEATURE_DRIFT,PSI,OOT-2017,annual,LANE_A_C8E_MATCHED_SCORED,0.136962,0.0,0.136962,AMBER,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|annual,1,NONE,aggregate feature monitoring; no causal pricing claim
E3-KRI-003,E3,FEATURE_DRIFT,MISSINGNESS_SHIFT_PP,OOT-2017,annual,LANE_A_C8E_MATCHED_SCORED,2.6635,0.0,2.6635,AMBER,E0-THR-MISSINGNESS,E0-1.0.1,True,MISSINGNESS_SHIFT_PP|LANE_A|annual,1,NONE,aggregate feature monitoring; no causal pricing claim
E4-SCORE-PSI-OOT,E4,SCORE_DRIFT,PSI,OOT,annual,LANE_A_C8E_MATCHED_SCORED,0.003635256386726,0.0,0.003635256386726,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|annual,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017Q1,E4,SCORE_DRIFT,PSI,2017Q1,quarterly,LANE_A_C8E_MATCHED_SCORED,0.006701851733328,0.0,0.006701851733328,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|quarterly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017Q2,E4,SCORE_DRIFT,PSI,2017Q2,quarterly,LANE_A_C8E_MATCHED_SCORED,0.006323388900666,0.0,0.006323388900666,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|quarterly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017Q3,E4,SCORE_DRIFT,PSI,2017Q3,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0052991940620033,0.0,0.0052991940620033,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|quarterly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017Q4,E4,SCORE_DRIFT,PSI,2017Q4,quarterly,LANE_A_C8E_MATCHED_SCORED,0.004297532255742,0.0,0.004297532255742,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|quarterly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-01,E4,SCORE_DRIFT,PSI,2017-01,monthly,LANE_A_C8E_MATCHED_SCORED,0.0066639641324554,0.0,0.0066639641324554,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-02,E4,SCORE_DRIFT,PSI,2017-02,monthly,LANE_A_C8E_MATCHED_SCORED,0.0100917364892676,0.0,0.0100917364892676,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-03,E4,SCORE_DRIFT,PSI,2017-03,monthly,LANE_A_C8E_MATCHED_SCORED,0.0085888386930065,0.0,0.0085888386930065,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-04,E4,SCORE_DRIFT,PSI,2017-04,monthly,LANE_A_C8E_MATCHED_SCORED,0.0123976485597342,0.0,0.0123976485597342,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-05,E4,SCORE_DRIFT,PSI,2017-05,monthly,LANE_A_C8E_MATCHED_SCORED,0.0079786402580385,0.0,0.0079786402580385,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-06,E4,SCORE_DRIFT,PSI,2017-06,monthly,LANE_A_C8E_MATCHED_SCORED,0.0059029443144412,0.0,0.0059029443144412,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-07,E4,SCORE_DRIFT,PSI,2017-07,monthly,LANE_A_C8E_MATCHED_SCORED,0.0070167544779783,0.0,0.0070167544779783,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-08,E4,SCORE_DRIFT,PSI,2017-08,monthly,LANE_A_C8E_MATCHED_SCORED,0.0043102768426603,0.0,0.0043102768426603,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-09,E4,SCORE_DRIFT,PSI,2017-09,monthly,LANE_A_C8E_MATCHED_SCORED,0.0166654099059331,0.0,0.0166654099059331,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-10,E4,SCORE_DRIFT,PSI,2017-10,monthly,LANE_A_C8E_MATCHED_SCORED,0.0012193591453111,0.0,0.0012193591453111,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-11,E4,SCORE_DRIFT,PSI,2017-11,monthly,LANE_A_C8E_MATCHED_SCORED,0.0094002050597778,0.0,0.0094002050597778,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E4-SCORE-PSI-2017-12,E4,SCORE_DRIFT,PSI,2017-12,monthly,LANE_A_C8E_MATCHED_SCORED,0.0123950919835143,0.0,0.0123950919835143,GREEN,E0-THR-PSI,E0-1.0.1,True,PSI|LANE_A|monthly,1,NONE,aggregate score monitoring
E5-CALIBRATION_GAP-OOT,E5,CALIBRATION,CALIBRATION_GAP,OOT,annual,LANE_A_C8E_MATCHED_SCORED,0.0182118925474429,0.0,0.0182118925474429,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|annual,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017Q1,E5,CALIBRATION,CALIBRATION_GAP,2017Q1,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0183936478636645,0.0,0.0183936478636645,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|quarterly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017Q2,E5,CALIBRATION,CALIBRATION_GAP,2017Q2,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0146324392705381,0.0,0.0146324392705381,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|quarterly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017Q3,E5,CALIBRATION,CALIBRATION_GAP,2017Q3,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0156355442061257,0.0,0.0156355442061257,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|quarterly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017Q4,E5,CALIBRATION,CALIBRATION_GAP,2017Q4,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0259174967342281,0.0,0.0259174967342281,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|quarterly,1,INVESTIGATE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-01,E5,CALIBRATION,CALIBRATION_GAP,2017-01,monthly,LANE_A_C8E_MATCHED_SCORED,0.0200042022977821,0.0,0.0200042022977821,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-02,E5,CALIBRATION,CALIBRATION_GAP,2017-02,monthly,LANE_A_C8E_MATCHED_SCORED,0.0187647760385285,0.0,0.0187647760385285,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-03,E5,CALIBRATION,CALIBRATION_GAP,2017-03,monthly,LANE_A_C8E_MATCHED_SCORED,0.0165752973114739,0.0,0.0165752973114739,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-04,E5,CALIBRATION,CALIBRATION_GAP,2017-04,monthly,LANE_A_C8E_MATCHED_SCORED,0.0120820640708624,0.0,0.0120820640708624,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-05,E5,CALIBRATION,CALIBRATION_GAP,2017-05,monthly,LANE_A_C8E_MATCHED_SCORED,0.0141808990518529,0.0,0.0141808990518529,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-06,E5,CALIBRATION,CALIBRATION_GAP,2017-06,monthly,LANE_A_C8E_MATCHED_SCORED,0.0172656045038541,0.0,0.0172656045038541,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-07,E5,CALIBRATION,CALIBRATION_GAP,2017-07,monthly,LANE_A_C8E_MATCHED_SCORED,0.0086026430153125,0.0,0.0086026430153125,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-08,E5,CALIBRATION,CALIBRATION_GAP,2017-08,monthly,LANE_A_C8E_MATCHED_SCORED,0.0202256207180587,0.0,0.0202256207180587,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-09,E5,CALIBRATION,CALIBRATION_GAP,2017-09,monthly,LANE_A_C8E_MATCHED_SCORED,0.0183258161574723,0.0,0.0183258161574723,GREEN,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,NONE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-10,E5,CALIBRATION,CALIBRATION_GAP,2017-10,monthly,LANE_A_C8E_MATCHED_SCORED,0.025938399488364,0.0,0.025938399488364,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE,CALIBRATION monitoring; no production claim
E5-CALIBRATION_GAP-2017-11,E5,CALIBRATION,CALIBRATION_GAP,2017-11,monthly,LANE_A_C8E_MATCHED_SCORED,0.0235360013755125,0.0,0.0235360013755125,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,2,WATCH,CALIBRATION monitoring; no production claim
