alert_id,source_stage,metric_id,window_id,frequency,population_scope,metric_value,reference_value,delta,severity,threshold_id,threshold_version,sample_eligible,persistence_key,persistence_count,persistence_state
E5A-001,E5,CALIBRATION_GAP,2017-01,monthly,LANE_A_C8E_MATCHED_SCORED,0.0200042022977821,0.0,0.0200042022977821,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE
E5A-002,E5,CALIBRATION_GAP,2017-08,monthly,LANE_A_C8E_MATCHED_SCORED,0.0202256207180587,0.0,0.0202256207180587,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE
E5A-003,E5,CALIBRATION_GAP,2017-10,monthly,LANE_A_C8E_MATCHED_SCORED,0.025938399488364,0.0,0.025938399488364,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,1,INVESTIGATE
E5A-004,E5,CALIBRATION_GAP,2017-11,monthly,LANE_A_C8E_MATCHED_SCORED,0.0235360013755125,0.0,0.0235360013755125,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,2,WATCH
E5A-005,E5,CALIBRATION_GAP,2017-12,monthly,LANE_A_C8E_MATCHED_SCORED,0.0287298025889287,0.0,0.0287298025889287,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|monthly,3,ESCALATION
E5A-006,E5,CALIBRATION_GAP,2017Q4,quarterly,LANE_A_C8E_MATCHED_SCORED,0.0259174967342281,0.0,0.0259174967342281,AMBER,E0-THR-CALGAP,E0-1.0.1,True,CALIBRATION_GAP|LANE_A|quarterly,1,INVESTIGATE
E5A-007,E5,CALIBRATION_SLOPE,OOT,annual,LANE_A_C8E_MATCHED_SCORED,1.2507071775766894,1.0,0.25070717757668937,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|annual,1,INVESTIGATE
E5A-008,E5,CALIBRATION_SLOPE,2017-01,monthly,LANE_A_C8E_MATCHED_SCORED,1.2947068852686867,1.0,0.2947068852686867,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,1,INVESTIGATE
E5A-009,E5,CALIBRATION_SLOPE,2017-06,monthly,LANE_A_C8E_MATCHED_SCORED,1.2908526164261678,1.0,0.2908526164261678,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,1,INVESTIGATE
E5A-010,E5,CALIBRATION_SLOPE,2017-07,monthly,LANE_A_C8E_MATCHED_SCORED,1.2901449512865504,1.0,0.2901449512865504,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,2,WATCH
E5A-011,E5,CALIBRATION_SLOPE,2017-08,monthly,LANE_A_C8E_MATCHED_SCORED,1.277925119721385,1.0,0.277925119721385,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,3,ESCALATION
E5A-012,E5,CALIBRATION_SLOPE,2017-09,monthly,LANE_A_C8E_MATCHED_SCORED,1.2836358672741268,1.0,0.2836358672741268,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,4,ESCALATION
E5A-013,E5,CALIBRATION_SLOPE,2017-10,monthly,LANE_A_C8E_MATCHED_SCORED,1.3585283041585752,1.0,0.3585283041585752,RED,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,1,INVESTIGATE
E5A-014,E5,CALIBRATION_SLOPE,2017-12,monthly,LANE_A_C8E_MATCHED_SCORED,1.2698844402553675,1.0,0.2698844402553675,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|monthly,1,INVESTIGATE
E5A-015,E5,CALIBRATION_SLOPE,2017Q3,quarterly,LANE_A_C8E_MATCHED_SCORED,1.283510401213294,1.0,0.28351040121329407,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|quarterly,1,INVESTIGATE
E5A-016,E5,CALIBRATION_SLOPE,2017Q4,quarterly,LANE_A_C8E_MATCHED_SCORED,1.2631310430189897,1.0,0.2631310430189897,AMBER,E0-THR-CALSLOPE,E0-1.0.1,True,CALIBRATION_SLOPE|LANE_A|quarterly,2,WATCH
