dimension,segment,accounts,good_accounts,bad_accounts,bad_rate,loan_amount,loan_amount_share,bad_associated_loan_amount,bad_associated_share,account_share,relative_bad_rate,primary_segment,wilson_lower_95,wilson_upper_95
addr_state,CA,196805,158172,38633,0.1963009069891517,2886747675.0,0.14866579984835201,606112900.0,0.03121445627453539,0.14603233257721968,0.9825514770047316,True,,
addr_state,TX,110307,88426,21881,0.198364564352217,1674091450.0,0.08621472066606493,361190800.0,0.01860111281803185,0.08184948812070512,0.9928807700335384,True,,
addr_state,NY,110075,85808,24267,0.22045877810583692,1573354275.0,0.08102681566642259,377294400.0,0.019430438704451044,0.08167734055759486,1.1034696750459703,True,,
addr_state,FL,95815,75216,20599,0.21498721494546782,1314572825.0,0.06769972387265634,304343600.0,0.01567351560185353,0.07109620154917967,1.0760826774655543,True,,
addr_state,IL,51858,42464,9394,0.18114852096108605,762927425.0,0.039290311670163065,148775250.0,0.007661837482518638,0.038479432447292794,0.906708733838779,True,,
addr_state,NJ,48576,38318,10258,0.21117424242424243,736348875.0,0.03792153204706718,168700150.0,0.008687958061414897,0.03604413804156918,1.0569974789304528,True,,
addr_state,PA,45640,36138,9502,0.2081945661700263,640051250.0,0.032962261249656157,146589675.0,0.007549281661198522,0.0338655809497945,1.0420832059936609,True,,
addr_state,OH,43935,34920,9015,0.20518948446568794,600586475.0,0.03092984865190106,132198400.0,0.006808139500683023,0.032600444764005726,1.0270417703100208,True,,
addr_state,GA,43470,35459,8011,0.18428801472279732,633945675.0,0.03264782774416833,127370250.0,0.006559492628026299,0.03225540762242697,0.9224229466762522,True,,
addr_state,VA,38107,30505,7602,0.19949090718240745,583149550.0,0.030031857315675,123926625.0,0.006382147974928836,0.028275979256218647,0.9985184913685624,True,,
addr_state,NC,37812,29951,7861,0.2078969639267957,536287125.0,0.02761847011325579,122441225.0,0.006305650752463855,0.02805708472553965,1.0405936075596491,True,,
addr_state,MI,35302,28133,7169,0.20307631295677298,486736100.0,0.025066621599190323,106504725.0,0.0054849304173264024,0.0261946261763726,1.0164646424755404,True,,
addr_state,AZ,32733,26301,6432,0.19649894601778023,454925125.0,0.023428375179772688,97032150.0,0.004997098400973085,0.02428838872106975,0.9835427283599497,True,,
addr_state,MD,31295,24618,6677,0.2133567662565905,473138575.0,0.024366357094748325,108793725.0,0.005602812565045766,0.023221370635929422,1.0679217382625308,True,,
addr_state,MA,31066,25140,5926,0.19075516641988025,474664225.0,0.02444492716843467,94590750.0,0.004871367743287609,0.02305144911889386,0.9547931967654871,True,,
addr_state,CO,29722,25104,4618,0.15537312428504138,434949225.0,0.02239962813100588,71628825.0,0.003688842171085366,0.02205418047742752,0.7776942811657197,True,,
