dimension,segment,accounts,good_accounts,bad_accounts,bad_rate,account_share,loan_amount,loan_amount_share,bad_associated_loan_amount,bad_associated_share,relative_bad_rate,primary_segment,materiality_flag,materiality_rule,materiality_rank,descriptive_concentration_index
experience_c,1,1347656,1078410,269246,0.19978837329407503,0.9999814496160442,19417610475.0,0.999995468051988,4186010325.0,0.21557705875335464,1.0000074084187216,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),1,1.0000028764371351
purpose,debt_consolidation,781206,615948,165258,0.21154215405411633,0.5796668499444602,11893122000.0,0.612488756858194,2679040900.0,0.13796902364351912,1.0588389992824694,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),2,0.6485269823834939
loan_amount_band,Q4 (>75th percentile),291928,223688,68240,0.23375626866898688,0.2166150594985015,8130134250.0,0.4186971108067945,1904668800.0,0.09808931797206723,1.1700280480747893,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),3,0.4898873632918275
home_ownership_n,RENT,535585,411177,124408,0.23228432461700757,0.39741229563969516,6762017450.0,0.34823990385400194,1740724275.0,0.0896462717886549,1.162660477417459,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),4,0.4048847728707039
fico_band,640–679,460588,344051,116537,0.2530178814906163,0.3417633698182285,5984514900.0,0.3081989818569371,1679498850.0,0.08649319857151608,1.2664388411661893,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),5,0.39031516143149886
dti_band,20–29.99,410172,315526,94646,0.2307471012160752,0.30435392351750895,6034943250.0,0.31079601209020213,1481385400.0,0.0762904729367006,1.1549661618575424,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),6,0.35895887720445113
loan_amount_band,Q3 (>50th–75th percentile),369729,288553,81176,0.21955540409326832,0.27434459638445596,6097160350.0,0.3140001559839856,1340697625.0,0.06904513563881572,1.0989479869704992,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),7,0.34506983932702373
revenue_band,Q2 (>25th–50th percentile),348634,274856,73778,0.21162020915917554,0.25869178240251217,4410645775.0,0.22714565171967427,1057425900.0,0.05445680915075596,1.059229691103205,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),8,0.24059941850646677
revenue_band,Q1 (≤25th percentile),337001,259243,77758,0.23073522037026598,0.2500599177401774,2956523900.0,0.15225923421390444,749853100.0,0.038616991656628345,1.15490669426375,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),9,0.17584520885711044
dti_band,30–39.99,122297,86687,35610,0.2911763984398636,0.0907462522659294,1725941125.0,0.0888849482971488,540795925.0,0.027850670649576043,1.4574349387586725,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),10,0.12954402917802282
home_ownership_n,OWN,144985,115081,29904,0.20625581956754147,0.10758109671353977,2006933850.0,0.10335590763158145,445678000.0,0.022952153705229475,1.032379132960954,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),11,0.1067024823070845
addr_state,NY,110075,85808,24267,0.22045877810583692,0.08167734055759486,1573354275.0,0.08102681566642259,377294400.0,0.019430438704451044,1.1034696750459703,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),12,0.08941063395343707
emp_length,< 1 year,108517,86228,22289,0.20539638950579173,0.08052128062946647,1494272050.0,0.07695412779860873,331650725.0,0.01707981640702658,1.0280773990081855,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),13,0.07911479955013717
emp_length,3 years,107862,86304,21558,0.1998664960783223,0.08003526056982327,1495181475.0,0.07700096264884451,325933275.0,0.016785371109744766,1.0003984389963547,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),14,0.07703164283512066
addr_state,FL,95815,75216,20599,0.21498721494546782,0.07109620154917967,1314572825.0,0.06769972387265634,304343600.0,0.01567351560185353,1.0760826774655543,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),15,0.07285050012856674
emp_length,1 year,88841,70552,18289,0.2058621582377506,0.06592138644085656,1195051525.0,0.06154444753267804,267646450.0,0.013783634056558806,1.0304087267771096,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),16,0.0634159358223474
emp_length,NI,78188,57111,21077,0.269568220187241,0.05801669682959098,896627375.0,0.046175780108770076,251081900.0,0.012930569517456678,1.3492788034501937,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),17,0.06230400133354054
purpose,other,78263,61762,16501,0.2108403715676629,0.05807234798145852,767930650.0,0.03954797480189011,188299725.0,0.009697324595004558,1.0553263439963734,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),18,0.04173601966013939
addr_state,NJ,48576,38318,10258,0.21117424242424243,0.03604413804156918,736348875.0,0.03792153204706718,168700150.0,0.008687958061414897,1.0569974789304528,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),19,0.04008296377093038
addr_state,PA,45640,36138,9502,0.2081945661700263,0.0338655809497945,640051250.0,0.032962261249656157,146589675.0,0.007549281661198522,1.0420832059936609,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),20,0.0343494188798423
addr_state,OH,43935,34920,9015,0.20518948446568794,0.032600444764005726,600586475.0,0.03092984865190106,132198400.0,0.006808139500683023,1.0270417703100208,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),21,0.03176624651486947
addr_state,NC,37812,29951,7861,0.2078969639267957,0.02805708472553965,536287125.0,0.02761847011325579,122441225.0,0.006305650752463855,1.0405936075596491,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),22,0.028739603450431195
addr_state,MD,31295,24618,6677,0.2133567662565905,0.023221370635929422,473138575.0,0.024366357094748325,108793725.0,0.005602812565045766,1.0679217382625308,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),23,0.02602136242374918
addr_state,MI,35302,28133,7169,0.20307631295677298,0.0261946261763726,486736100.0,0.025066621599190323,106504725.0,0.0054849304173264024,1.0164646424755404,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),24,0.025479334561890648
purpose,small_business,15575,10925,4650,0.2985553772070626,0.011556889204492755,243466000.0,0.012538355166728894,79231350.0,0.004080367717214746,1.4943691872942568,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),25,0.018736931620511404
addr_state,IN,21720,17064,4656,0.2143646408839779,0.016116573580839975,304688975.0,0.015691302210315117,70752975.0,0.0036437364135143723,1.0729664867507782,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),26,0.016836241405146533
addr_state,MO,21328,16777,4551,0.2133814703675919,0.015825703560412293,295763525.0,0.015231646808234826,67960900.0,0.003499946200498409,1.0680453905732858,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),27,0.01626809016437551
addr_state,TN,20393,16025,4368,0.21419114402000686,0.015131919200463612,288234175.0,0.014843889731375593,64648450.0,0.003329356982406227,1.0720980771108783,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),28,0.015914105637853684
addr_state,NV,20282,15825,4457,0.21975150379646977,0.01504955549569965,279088250.0,0.014372879997046097,64312700.0,0.0033120660557584437,1.0999295313554747,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),29,0.01580915515937939
addr_state,AL,16640,12707,3933,0.23635817307692308,0.012347135561011842,232062625.0,0.01195108809104113,59256975.0,0.003051699205047008,1.1830514469895181,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),30,0.014138752059205407
addr_state,LA,15520,11924,3596,0.23170103092783506,0.011516078359789891,221115275.0,0.01138730603344586,57134600.0,0.0029423981463900036,1.1597408980603667,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),31,0.013206324525716734
addr_state,OK,12291,9407,2884,0.23464323488731592,0.009120110768052678,175137850.0,0.009019495808192068,44813250.0,0.0023078559005175817,1.1744676096705013,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),32,0.010593105682280444
addr_state,KY,12868,10165,2703,0.21005595275101024,0.009548253629753629,175609500.0,0.009043785504553727,40542225.0,0.002087900636226148,1.05140006633055,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),33,0.009508636679367057
addr_state,AR,10058,7633,2425,0.24110161065818253,0.007463190473116413,135723425.0,0.00698967620569152,35524725.0,0.0018295023504323934,1.2067939333235411,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),34,0.008435098840924433
purpose,medical,15606,12197,3409,0.2184416250160195,0.011579891680598005,140297975.0,0.007225262828168414,34821200.0,0.0017932712285563493,1.0933731514071146,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),35,0.00789990838817918
dti_band,40–59.99,5089,3498,1591,0.312635095303596,0.003776116158052239,84915150.0,0.00437308005937609,26981150.0,0.001389513285250455,1.5648428698856658,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),36,0.006843183150353858
addr_state,MS,6593,4871,1722,0.26118610647656604,0.004892107256836002,92173700.0,0.004746891096216798,26630550.0,0.0013714575923756587,1.3073235301243273,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),37,0.006205722425021883
purpose,house,7294,5696,1598,0.21908417877707706,0.005412260022957955,111995475.0,0.005767700798536579,25714350.0,0.0013242738336423777,1.0965893471785224,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),38,0.0063247992533882694
addr_state,NM,7374,5798,1576,0.21372389476539191,0.005471621251616666,105021550.0,0.00540854778104695,24619775.0,0.001267903867788327,1.0697593388325237,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),39,0.005785844498296899
addr_state,HI,6763,5396,1367,0.2021292325890877,0.005018249867735762,102588275.0,0.00528323555606144,23222700.0,0.0011959553306432728,1.0117241895230598,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),40,0.005345177211015672
purpose,moving,9520,7291,2229,0.23413865546218487,0.007063986210386583,74760275.0,0.003850109996107559,19976325.0,0.0010287689360157293,1.171942021444584,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),41,0.004512105691622291
addr_state,NE,3591,2686,905,0.25201893622946253,0.00266457715141788,47921625.0,0.002467935376671874,13014425.0,0.0006702351989220493,1.2614387871325736,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),42,0.0031131494082705397
addr_state,SD,2770,2179,591,0.21335740072202167,0.0020553825423078606,37409800.0,0.0019265825992799592,8783425.0,0.0004523411984849044,1.0679249139735147,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),43,0.002057445556598921
addr_state,ND,1601,1273,328,0.20487195502810743,0.0011879665885324495,23335600.0,0.00120176961394494,5134475.0,0.00026442242918801943,1.0254524296254948,True,True,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),44,0.0012323575704699316
home_ownership_n,MORTGAGE,666594,551759,114835,0.17227127756925506,0.49462298570655816,10642135750.0,0.5480637040327716,1998283800.0,0.10291043516680212,0.8622751714056923,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.47258172433609674
fico_band,680–719,608501,488229,120272,0.19765292086619413,0.4515170875006771,9090548850.0,0.4681578953192598,1942507025.0,0.10003796420574504,0.9893187571574021,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.4631573871506753
dti_band,10–19.99,563230,462713,100517,0.17846528061360367,0.4179253102180709,8226897500.0,0.4236803610166266,1580598025.0,0.08139986451200674,0.8932782214330305,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.3784644393450365
emp_length,10+ years,442667,359454,83213,0.1879810331468124,0.328465712583319,6914420025.0,0.35608854643109294,1413617475.0,0.07280046483469767,0.9409077349677409,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.3350464676704349
revenue_band,Q4 (>75th percentile),336880,281502,55378,0.1643849441937782,0.2499701338818311,6859768350.0,0.3532740174553565,1244560450.0,0.06409412792161508,0.8228014439274248,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.29067437166430965
revenue_band,Q3 (>50th–75th percentile),325166,262831,62335,0.19170208447377646,0.24127816597547935,5190760450.0,0.2673210966110648,1134181250.0,0.058409664330725995,0.9595328372833457,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.2565033702969104
purpose,credit_card,295551,245511,50040,0.16931088035567465,0.21930338114138287,4375482650.0,0.22533477155561815,784535600.0,0.04040311991712499,0.8474573964940111,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.1909616188420969
